Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2014-03-01","2,732","12,977","5.72","0","1,102","174","129","35","1,420"
"2014-03-02","2,457","9,586","4.24","0","1,179","138","95","28","1,074"
"2014-03-03","2,715","14,080","6.28","0","1,192","98","65","85","1,296"
"2014-03-04","2,527","11,678","5.12","0","1,232","74","71","63","1,059"
"2014-03-05","2,398","9,281","4.1","0","1,230","105","68","37","954"
"2014-03-06","2,935","16,843","7.4","0","1,096","143","127","74","1,627"
"2014-03-07","2,157","5,166","2.28","0","1,273","100","53","14","644"
"2014-03-08","2,538","11,449","5.02","0","1,212","91","81","56","1,099"
"2014-03-09","2,383","8,163","3.64","0","1,195","132","95","18","965"
"2014-03-10","2,181","6,465","2.88","0","1,312","54","45","29","621"
"2014-03-11","2,670","13,765","6.04","0","1,187","93","92","68","1,265"
"2014-03-12","2,113","5,290","2.36","0","1,322","56","39","23","540"
"2014-03-13","3,088","20,417","9.09","0","1,149","74","90","127","1,721"
"2014-03-14","2,440","9,003","3.98","0","1,189","130","94","27","1,023"
"2014-03-15","3,047","10,019","4.41","0","1,254","69","71","46","928"
"2014-03-16","2,075","4,578","2.01","0","1,296","83","50","11","559"
"2014-03-17","2,178","7,334","3.22","0","1,323","44","24","49","645"
"2014-03-18","2,086","5,232","2.31","0","337","76","50","16","587"
"2014-03-19","2,810","15,151","6.69","0","1,126","127","122","65","1,480"
"2014-03-20","2,876","15,084","6.67","0","1,105","146","127","62","1,525"
"2014-03-21","2,474","9,741","4.43","0","1,230","107","54","49","1,001"
"2014-03-22","2,812","15,126","6.75","0","1,159","125","68","88","1,432"
"2014-03-23","2,371","7,851","3.44","0","1,200","131","93","16","934"
"2014-03-24","2,881","16,674","7.4","0","1,152","103","98","87","1,510"
"2014-03-25","2,706","14,383","6.46","0","1,215","73","65","87","1,269"
"2014-03-26","2,195","7,517","3.34","0","1,324","39","32","45","653"
"2014-03-27","2,379","9,057","3.97","0","830","82","64","43","888"
"2014-03-28","2,502","10,484","4.67","0","785","112","68","52","1,062"
"2014-03-29","1,551","3,716","1.63","0","542","39","24","18","373"
